date,close,sma,sma_long,rsi,ema,ema_long,mom,roc,adx,composite_score,bull_components,total_components,signal,atr,peak_composite,confidence,peak_confidence,effective_risk_fraction,realized_vol
2023-04-11,158.8058624267578,152.1074868774414,,55.99163603782458,154.49664366901987,,10.201904296875,6.865163233376559,41.53984864813035,0.6,3,5,0,3.087161699794007,0.6,0.5710961822054728,0.6,,
2023-04-12,158.11453247070312,152.44955139160157,,54.2736408824188,154.7033801719732,,7.4168701171875,4.921688897727261,40.6457252469739,0.6,3,5,0,3.027487540403379,0.6,0.5710961822054728,0.6,,
2023-04-13,163.5068359375,152.87402160644533,,63.643867388708806,155.20643478714618,,12.41412353515625,8.216229186553203,40.247829892259645,0.561058630357848,3,5,-1,3.213333614397817,0.6,0.5844004093555433,0.6,,
2023-04-14,163.16119384765625,153.26909606933594,,62.75614594438373,155.66099244774676,,9.243927001953125,6.005776474201463,39.927104496575694,0.6,3,5,-1,3.160166701986757,0.6,0.6038710941766192,0.6038710941766192,,
2023-04-17,163.180908203125,153.55826354980468,,62.7880277919454,156.09070191948265,,10.103164672851562,6.600021949535417,39.62241537067594,0.6,3,5,-1,3.030378699256014,0.6,0.6038710941766192,0.6038710941766192,,
2023-04-18,164.40554809570312,153.79934753417967,,64.80359671169228,156.56583598669525,,8.95751953125,5.762388634948801,39.558751224248915,0.6,3,5,-1,2.9677077230654474,0.6,0.6038710941766192,0.6038710941766192,,
2023-04-19,165.5511474609375,154.11797302246094,,66.62475809338389,157.07928235665196,,8.246475219726562,5.242358731138896,39.57835419401131,0.6,3,5,-1,2.9405513437311366,0.6,0.6038710941766192,0.6038710941766192,,
2023-04-20,164.5832977294922,154.35965362548828,,63.62927432735091,157.50808323509997,,8.710617065429688,5.588289768495636,39.59697701528559,0.518335695398362,3,5,-1,2.8934655559088833,0.6,0.5337665407258355,0.6038710941766192,,
2023-04-21,162.97352600097656,154.62297912597657,,58.886948186954655,157.82039425029294,,6.0145263671875,3.8319092127373278,39.33862148696202,0.6,3,5,0,2.839160715026165,0.6,0.5745986930266545,0.6038710941766192,,
2023-04-24,163.27967834472656,154.91313537597657,,59.50509664558288,158.13235334140342,,5.016998291015625,3.1700450727315976,38.94022989693441,0.6,3,5,0,2.756992109423517,0.6,0.5745986930266545,0.6038710941766192,,
